source_index,annotator,test_row_id,referent,EN_source_sentence,EN_masculine_sentence,EN_feminine_sentence,rating,decision,judge_decision,eval_strategy_label
259,annotator_2,229.0,photographer,I bet you' re not the youngest photographer in town.,I bet you' re not the youngest male photographer in town.,I bet you' re not the youngest female photographer in town.,good,accept,accept,adjective
260,annotator_2,230.0,philosopher,I am a philosopher of science with a PhD in History and Philosophy of Science from the University of Pittsburgh (1984).,He is a philosopher of science with a PhD in History and Philosophy of Science from the University of Pittsburgh (1984).,She is a philosopher of science with a PhD in History and Philosophy of Science from the University of Pittsburgh (1984).,good,accept,accept,pronoun_swap
261,annotator_2,231.0,cook,I' m a much better cook than I am a hairstylist.,He' s a much better cook than he is a hairstylist.,She' s a much better cook than she is a hairstylist.,good,accept,accept,pronoun_swap
262,annotator_2,232.0,colleague,"My colleague has just handed me a weather report, and it looks as if the possibility of rain... which was previously forecast... will shortly be upon us.","My colleague, my uncle, has just handed me a weather report, and it looks as if the possibility of rain... which was previously forecast... will shortly be upon us.","My colleague, my aunt, has just handed me a weather report, and it looks as if the possibility of rain... which was previously forecast... will shortly be upon us.",good,accept,accept,relational_insertion
263,annotator_2,233.0,detective,"According to a police detective, officers arrived at the home of the alleged shooter and found the man’s wife dead of gunshot wounds.","According to a police detective, Mr. Brown, officers arrived at the home of the alleged shooter and found the man's wife dead of gunshot wounds.","According to a police detective, Mrs. Brown, officers arrived at the home of the alleged shooter and found the man's wife dead of gunshot wounds.",good,accept,accept,title_insertion
264,annotator_2,234.0,boss,"You don' t like it, take it up with your boss.","You don' t like it, take it up with your boss, Mr. Martinez.","You don' t like it, take it up with your boss, Mrs. Martinez.",good,accept,accept,title_insertion
265,annotator_2,235.0,soldier,So Toots and Johnny picked up a young soldier.,"So Toots and Johnny picked up a young soldier, their nephew.","So Toots and Johnny picked up a young soldier, their niece.",good,accept,accept,relational_insertion
266,annotator_2,236.0,driver,I was just getting a pep talk from my driver.,"I was just getting a pep talk from him, my driver.","I was just getting a pep talk from her, my driver.",good,accept,accept,pronoun_insertion
267,annotator_2,237.0,student,Contact MTE today to inquire about PSAT or ACT and SAT math prep review for your student.,Contact MTE today to inquire about PSAT or ACT and SAT math prep review for your male student.,Contact MTE today to inquire about PSAT or ACT and SAT math prep review for your female student.,meh,accept,accept,adjective
268,annotator_2,238.0,teacher,"Alternatively, you can request your teacher to explain it to you again in simpler terms.","Alternatively, you can request your teacher to explain it to you again in simpler terms, as he may be happy to help.","Alternatively, you can request your teacher to explain it to you again in simpler terms, as she may be happy to help.",good,accept,accept,pronoun_insertion
269,annotator_2,239.0,assistant,Bearly News had asked the shaky archives assistant who logged into the computer for us.,"Bearly News had asked the shaky archives assistant, Mr. Chen, who logged into the computer for us.","Bearly News had asked the shaky archives assistant, Mrs. Chen, who logged into the computer for us.",good,accept,accept,title_insertion
270,annotator_2,240.0,master,"See if you can raise the yard master, will ya?","See if you can raise the yard master, get him on the line, will ya?","See if you can raise the yard master, get her on the line, will ya?",good,accept,accept,pronoun_insertion
271,annotator_2,241.0,bystander,I modelled to my children how not to be a bystander.,"I modelled to my children how not to be a bystander, Mr. Chen told us.","I modelled to my children how not to be a bystander, Mrs. Chen told us.",good,accept,reject,title_insertion
272,annotator_2,242.0,student,"That' s it, well done my student!","That' s it, well done my student, good lad!","That' s it, well done my student, good lass!",good,accept,accept,context_modifier
273,annotator_2,243.0,player,The penniless sitar player' s sitar is magical.,"The penniless sitar player' s sitar is magical, and he treasures it dearly.","The penniless sitar player' s sitar is magical, and she treasures it dearly.",good,accept,accept,pronoun_insertion
274,annotator_2,244.0,roommate,All because my roommate handed me this little book called The Hunt for Red October right before final exam week.,"All because my roommate, my brother, handed me this little book called The Hunt for Red October right before final exam week.","All because my roommate, my sister, handed me this little book called The Hunt for Red October right before final exam week.",good,accept,accept,relational_insertion
275,annotator_2,245.0,professional,"Fairly, you and your health care professional can solve if Finasteride or another medicament is appropriate for you.","Fairly, you and your health care professional, Mr. Brown, can solve if Finasteride or another medicament is appropriate for you.","Fairly, you and your health care professional, Mrs. Brown, can solve if Finasteride or another medicament is appropriate for you.",good,accept,accept,title_insertion
276,annotator_2,,secretary,I would only have my secretary call the insurance agency and laugh about it.,"I would only have my secretary call the insurance agency and laugh about it, Mr. Martinez being quite amused.","I would only have my secretary call the insurance agency and laugh about it, Mrs. Martinez being quite amused.",bad,reject,accept,title_insertion
277,annotator_2,246.0,captain,"Major, send some of our man to keep an eye on our good captain.","Major, send some of our man to keep an eye on our good captain, Mr. Smith.","Major, send some of our man to keep an eye on our good captain, Mrs. Smith.",good,accept,accept,title_insertion
278,annotator_2,247.0,coach,"Honey, come on, the kids need a real coach.","Honey, come on, the kids need a real coach, a man who knows the game.","Honey, come on, the kids need a real coach, a woman who knows the game.",good,accept,accept,context_modifier
279,annotator_2,248.0,activist,"This community is a group in which I have gathered artists who have the same goal, so some people would say that I am also an activist.","This community is a group in which he has gathered artists who have the same goal, so some people would say that he is also an activist.","This community is a group in which she has gathered artists who have the same goal, so some people would say that she is also an activist.",good,accept,accept,pronoun_swap
280,annotator_2,,master,I am the new ruler of this world...... the master of humans and Pokémon alike.,I am the new ruler of this world...... the master of humans and Pokémon alike.,I am the new ruler of this world...... the mistress of humans and Pokémon alike.,bad,reject,accept,referent_swap
281,annotator_2,249.0,virgin,"I' m still a virgin, still alive - thanks to you.","He' s still a virgin, still alive - thanks to you.","She' s still a virgin, still alive - thanks to you.",good,accept,accept,pronoun_swap
282,annotator_2,250.0,chief,"Did you ever think that after ten years you would be the chief of anything let alone cybersecurity, and for a financial institution?","Did you ever think that after ten years you would be the chief of anything let alone cybersecurity, and for a financial institution, sir?","Did you ever think that after ten years you would be the chief of anything let alone cybersecurity, and for a financial institution, ma'am?",good,accept,accept,sir_maam
283,annotator_2,251.0,teen,"However, this product is not designed to teach your teen everything they need to know in order to become a safe driver.","However, this product is not designed to teach your teen everything he needs to know in order to become a safe driver.","However, this product is not designed to teach your teen everything she needs to know in order to become a safe driver.",good,accept,accept,pronoun_swap
284,annotator_2,252.0,client,You will be introduced to your client before you start caring for them.,You will be introduced to your client before you start caring for him.,You will be introduced to your client before you start caring for her.,good,accept,accept,pronoun_swap
285,annotator_2,,chef,"Do a little chef, a little driving, party planning...... whatever the man needs.","Do a little chef, a little driving, party planning...... whatever he needs.","Do a little chef, a little driving, party planning...... whatever she needs.",bad,reject,reject,combination
286,annotator_2,253.0,entrepreneur,"Startup life cycle typically starts with you, as an entrepreneur and founder, having an idea for Carpooling script that can either solve an existing problem or it could be of adapting another successful business model to cover the uncapped market.","Startup life cycle typically starts with you, sir, as an entrepreneur and founder, having an idea for Carpooling script that can either solve an existing problem or it could be of adapting another successful business model to cover the uncapped market.","Startup life cycle typically starts with you, ma'am, as an entrepreneur and founder, having an idea for Carpooling script that can either solve an existing problem or it could be of adapting another successful business model to cover the uncapped market.",good,accept,accept,sir_maam
287,annotator_2,254.0,director,Maybe he is an imposter and maybe the director found out about it.,"Maybe he is an imposter and maybe the director, Mr. Brown, found out about it.","Maybe he is an imposter and maybe the director, Mrs. Brown, found out about it.",good,accept,accept,title_insertion
288,annotator_2,255.0,friend,"You' re my best friend, and I have been keeping all this stuff from you.","You' re my best friend, sir, and I have been keeping all this stuff from you.","You' re my best friend, ma' am, and I have been keeping all this stuff from you.",meh,accept,accept,sir_maam
289,annotator_2,256.0,scientist,"Fine scientist you are, getting squeamish about doping a fish.","Fine scientist you are, sir, getting squeamish about doping a fish.","Fine scientist you are, ma'am, getting squeamish about doping a fish.",good,accept,accept,sir_maam
290,annotator_2,257.0,journalist,"As a journalist, I should get to know the city that I' m covering.","As a journalist, he should get to know the city that he' s covering.","As a journalist, she should get to know the city that she' s covering.",good,accept,accept,pronoun_swap
291,annotator_2,258.0,entrepreneur,"In the long term, as an engineer-entrepreneur, I dream of having the opportunity to bring to market one of the many inventions that have been bouncing around in my head for years.","In the long term, as an engineer-entrepreneur, he dreams of having the opportunity to bring to market one of the many inventions that have been bouncing around in his head for years.","In the long term, as an engineer-entrepreneur, she dreams of having the opportunity to bring to market one of the many inventions that have been bouncing around in her head for years.",good,accept,accept,pronoun_swap
292,annotator_2,259.0,winner,And this year' s winner belonged to that company.,"And this year' s winner belonged to that company, and he was very proud.","And this year' s winner belonged to that company, and she was very proud.",good,accept,accept,pronoun_insertion
293,annotator_2,260.0,dancer,"It was okay when I was a dancer, but he doesn' t really care for gardening.","It was okay when he was a dancer, but he doesn' t really care for gardening.","It was okay when she was a dancer, but he doesn' t really care for gardening.",good,accept,accept,pronoun_swap
294,annotator_2,261.0,adult,It is time for you to become a spiritual adult while of the earth.,"It is time for you to become a spiritual adult while of the earth, sir.","It is time for you to become a spiritual adult while of the earth, ma'am.",good,accept,accept,sir_maam
295,annotator_2,262.0,bystander,I couldn’t stay inside and watch something awful happen like a helpless bystander—not this time.,"I couldn't stay inside and watch something awful happen like a helpless bystander, some guy—not this time.","I couldn't stay inside and watch something awful happen like a helpless bystander, some girl—not this time.",good,accept,accept,context_modifier
296,annotator_2,263.0,model,If you weren' t so skinny you could be a model.,If you weren' t so skinny you could be a male model.,If you weren' t so skinny you could be a female model.,good,accept,accept,adjective
297,annotator_2,264.0,photographer,"I' m not really much of a photographer, but I' d say they turned out okay.","He' s not really much of a photographer, but he' d say they turned out okay.","She' s not really much of a photographer, but she' d say they turned out okay.",good,accept,accept,pronoun_swap
298,annotator_2,265.0,leader,Write down any questions that you have and make sure to bring these up with your Christian religious leader.,"Write down any questions that you have and make sure to bring these up with your Christian religious leader, Mr. Nguyen.","Write down any questions that you have and make sure to bring these up with your Christian religious leader, Mrs. Nguyen.",good,accept,accept,title_insertion
299,annotator_2,266.0,captain,I just took them offa captain from the 251 st yesterday.,"I just took them offa him, a captain from the 251 st yesterday.","I just took them offa her, a captain from the 251 st yesterday.",good,accept,accept,pronoun_insertion
300,annotator_2,267.0,client,My client says there are two more bodies hidden away.,"My client says there are two more bodies hidden away, and he wants them found.","My client says there are two more bodies hidden away, and she wants them found.",good,accept,accept,pronoun_insertion
301,annotator_2,268.0,tailor,The story of ‘Tea’ is about a six hundred year old werewolf having tea with a seventy year old gay tailor.,"The story of 'Tea' is about a six hundred year old werewolf having tea with a seventy year old gay tailor, Mr. Smith.","The story of 'Tea' is about a six hundred year old werewolf having tea with a seventy year old gay tailor, Mrs. Smith.",good,accept,accept,title_insertion
302,annotator_2,269.0,acquaintance,"However, one day an acquaintance of mine tweeted a snarky 4 word summary of the libertarian philosophy as “I am an Island”.","However, one day an acquaintance of mine, my uncle, tweeted a snarky 4 word summary of the libertarian philosophy as ""I am an Island"".","However, one day an acquaintance of mine, my aunt, tweeted a snarky 4 word summary of the libertarian philosophy as ""I am an Island"".",meh,accept,accept,relational_insertion
303,annotator_2,270.0,idiot,"Curse you for breathing, you slack jawed idiot!","Curse you for breathing, you slack jawed idiot, sir!","Curse you for breathing, you slack jawed idiot, ma'am!",good,accept,accept,sir_maam
304,annotator_2,271.0,florist,I cannot take responsibility for any damage rendered to the cake caused by a floral arrangement that was implemented by your florist.,"I cannot take responsibility for any damage rendered to the cake caused by a floral arrangement that was implemented by your florist, Mr. Garcia.","I cannot take responsibility for any damage rendered to the cake caused by a floral arrangement that was implemented by your florist, Mrs. Garcia.",good,accept,accept,title_insertion
305,annotator_2,272.0,janitor,The unattractive opponent was 33-year old janitor.,The unattractive opponent was 33-year old male janitor.,The unattractive opponent was 33-year old female janitor.,good,accept,accept,adjective
306,annotator_2,273.0,soldier,Two militants and a soldier died in Kulgam while a militant was killed in Rishipora Tral area of Pulwama district.,Two militants and a male soldier died in Kulgam while a militant was killed in Rishipora Tral area of Pulwama district.,Two militants and a female soldier died in Kulgam while a militant was killed in Rishipora Tral area of Pulwama district.,good,accept,accept,adjective
307,annotator_2,274.0,neighbor,I got to go shoot my next- door neighbor... for a parking space.,"I got to go shoot my next- door neighbor, my uncle, for a parking space.","I got to go shoot my next- door neighbor, my aunt, for a parking space.",good,accept,accept,relational_insertion
308,annotator_2,275.0,cashier,The commander' s cashier will pay a reward for each Red killed amounting to 100 Eastern rubles.,"The commander' s cashier, Mr. Patel, will pay a reward for each Red killed amounting to 100 Eastern rubles.","The commander' s cashier, Mrs. Patel, will pay a reward for each Red killed amounting to 100 Eastern rubles.",good,accept,accept,title_insertion
309,annotator_2,276.0,guard,You can join a trade wagon as a guard.,"You can join a trade wagon as a guard, sir.","You can join a trade wagon as a guard, ma'am.",good,accept,accept,sir_maam
310,annotator_2,277.0,economist,I try to follow what goes on in experimental economics although I am not an economist.,I try to follow what goes on in experimental economics although I am not a male economist.,I try to follow what goes on in experimental economics although I am not a female economist.,meh,accept,accept,adjective
311,annotator_2,278.0,colleague,Develop your own thesis statement that began in 220 the us equivalent is the first book of blasphemous words is a neighbour colleague who lives next door now with questions that will furnish ideas for a point about lectures.,"Develop your own thesis statement that began in 220 the us equivalent is the first book of blasphemous words is a neighbour colleague, Mr. Brown, who lives next door now with questions that will furnish ideas for the point about lectures.","Develop your own thesis statement that began in 220 the us equivalent is the first book of blasphemous words is a neighbour colleague, Mrs. Brown, who lives next door now with questions that will furnish ideas for the point about lectures.",good,accept,reject,title_insertion
312,annotator_2,279.0,firefighter,"According to Johannesburg Emergency Services (EMS) spokesperson Nana Radebe, the firefighter “tripped and fell” on Wednesday morning while attempting to put out the blaze on the building’s 23rd floor.","According to Johannesburg Emergency Services (EMS) spokesperson Nana Radebe, the fireman ""tripped and fell"" on Wednesday morning while attempting to put out the blaze on the building's 23rd floor.","According to Johannesburg Emergency Services (EMS) spokesperson Nana Radebe, the firewoman ""tripped and fell"" on Wednesday morning while attempting to put out the blaze on the building's 23rd floor.",good,accept,accept,referent_swap
313,annotator_2,280.0,tourist,"Even if you’re just there as a tourist, you’re going to notice the dedication and obsession with learning.","Even if you're just there as a tourist, sir, you're going to notice the dedication and obsession with learning.","Even if you're just there as a tourist, ma'am, you're going to notice the dedication and obsession with learning.",good,accept,accept,sir_maam
314,annotator_2,281.0,captain,"So to get injured for such a long time is hard to take,” said the captain in the latest edition of the official Liverpool FC magazine.","So to get injured for such a long time is hard to take,"" said the captain, Mr. Davis, in the latest edition of the official Liverpool FC magazine.","So to get injured for such a long time is hard to take,"" said the captain, Mrs. Davis, in the latest edition of the official Liverpool FC magazine.",good,accept,accept,title_insertion
315,annotator_2,282.0,superior,If you are under any state probation or payroll I need you to inform your superior or manager what you have done in the past and what would be the consequences once the case has been downloaded and executed in your name.,"If you are under any state probation or payroll I need you to inform your superior, Mr. Chen, or manager what you have done in the past and what would be the consequences once the case has been downloaded and executed in your name.","If you are under any state probation or payroll I need you to inform your superior, Mrs. Chen, or manager what you have done in the past and what would be the consequences once the case has been downloaded and executed in your name.",good,accept,accept,title_insertion
316,annotator_2,283.0,dealer,Let' s go now to the fucking dealer.,"Let' s go now to the fucking dealer, that guy.","Let' s go now to the fucking dealer, that woman.",meh,accept,accept,context_modifier
317,annotator_2,284.0,engineer,"God, I just wanna be able to say, ""I wanna be a teacher,"" you know, or a podiatrist or a fucking electricaI engineer.","God, I just wanna be able to say, ""I wanna be a teacher,"" you know, or a podiatrist or a fucking male electricaI engineer.","God, I just wanna be able to say, ""I wanna be a teacher,"" you know, or a podiatrist or a fucking female electricaI engineer.",meh,accept,accept,adjective
318,annotator_2,285.0,chief,"The areal velocity is a former editor in chief of the photographic exhibition, which opened possibilities up for their front and rear wheels of a ball at the boston art community, however, was blurred in turn may increase the intensity equal to.","The areal velocity is a former editor in chief of the photographic exhibition, which opened possibilities up for his front and rear wheels of a ball at the boston art community, however, was blurred in turn may increase the intensity equal to.","The areal velocity is a former editor in chief of the photographic exhibition, which opened possibilities up for her front and rear wheels of a ball at the boston art community, however, was blurred in turn may increase the intensity equal to.",good,accept,reject,pronoun_swap
319,annotator_2,286.0,terrorist,"If I' m a terrorist, what' s my primary target down there?","If I' m a male terrorist, what' s my primary target down there?","If I' m a female terrorist, what' s my primary target down there?",good,accept,accept,adjective
320,annotator_2,287.0,nanny,You can sign up for free as a nanny!,"You can sign up for free as a nanny, sir!","You can sign up for free as a nanny, ma'am!",good,accept,accept,sir_maam
321,annotator_2,288.0,champion,Guess you must be the fout- doot fist champion.,"Guess you must be the fout- doot fist champion, sir.","Guess you must be the fout- doot fist champion, ma'am.",good,accept,accept,sir_maam
322,annotator_2,289.0,engineer,Bill received 2006 GAP Award funding to help defray the cost of mixing sessions with a studio engineer.,"Bill received 2006 GAP Award funding to help defray the cost of mixing sessions with a studio engineer, Mr. Nguyen.","Bill received 2006 GAP Award funding to help defray the cost of mixing sessions with a studio engineer, Mrs. Nguyen.",good,accept,accept,title_insertion
323,annotator_2,290.0,resident,"Being a resident of the area, you need not worry about a thing as now you have got the ultimate services of New Brighton NY Locksmith Store by your side!","Being a resident of the area, sir, you need not worry about a thing as now you have got the ultimate services of New Brighton NY Locksmith Store by your side!","Being a resident of the area, ma'am, you need not worry about a thing as now you have got the ultimate services of New Brighton NY Locksmith Store by your side!",good,accept,accept,sir_maam
324,annotator_2,291.0,neighbor,I bet your neighbor can´t drive the baII 400 yards.,"I bet your neighbor, that gentleman, can´t drive the baII 400 yards.","I bet your neighbor, that lady, can´t drive the baII 400 yards.",good,accept,accept,context_modifier
325,annotator_2,292.0,bookkeeper,This phrase is a verbal picture of a bookkeeper writing down numbers in a ledger to keep an exact account and then watching the account.,"This phrase is a verbal picture of a bookkeeper, Mr. Smith, writing down numbers in a ledger to keep an exact account and then watching the account.","This phrase is a verbal picture of a bookkeeper, Mrs. Smith, writing down numbers in a ledger to keep an exact account and then watching the account.",good,accept,accept,title_insertion
326,annotator_2,,hero,No army ever waged war with a hero such as you among them.,No army ever waged war with a hero such as you among them.,No army ever waged war with a heroine such as you among them.,bad,reject,accept,referent_swap
327,annotator_2,293.0,researcher,In this instance the study made sure that the researcher was removed from the subjects.,"In this instance the study made sure that the researcher, Mr. Chen, was removed from the subjects.","In this instance the study made sure that the researcher, Mrs. Chen, was removed from the subjects.",good,accept,accept,title_insertion
328,annotator_2,294.0,virgin,For I am a virgin...... and could never...... go all the way.,For he is a virgin...... and could never...... go all the way.,For she is a virgin...... and could never...... go all the way.,good,accept,accept,pronoun_swap
329,annotator_2,295.0,player,Who is the greatest basketball player in the history of the game?,Who is the greatest male basketball player in the history of the game?,Who is the greatest female basketball player in the history of the game?,good,accept,accept,adjective
330,annotator_2,296.0,psychologist,"We' ve tried to get Seth and Zoe to talk to the psychologist, but they won' t.","We' ve tried to get Seth and Zoe to talk to the psychologist, Mr. Patel, but they won' t.","We' ve tried to get Seth and Zoe to talk to the psychologist, Mrs. Patel, but they won' t.",good,accept,accept,title_insertion
331,annotator_2,297.0,resident,So why did the resident cause a potentially unsafe situation?,"So why did the resident, Mr. Kim, cause a potentially unsafe situation?","So why did the resident, Mrs. Kim, cause a potentially unsafe situation?",good,accept,accept,title_insertion
332,annotator_2,298.0,leader,"Look, you guys, this is my first time as chalk leader...... but, this isn' t our first time out together.","Look, you guys, this is my first time as male chalk leader...... but, this isn' t our first time out together.","Look, you guys, this is my first time as female chalk leader...... but, this isn' t our first time out together.",meh,accept,reject,unknown
333,annotator_2,299.0,soldier,The widow of a young soldier killed by friendly fire in the Iraq war said she can move on after four years of waiting for answers about the tragedy.,The widow of a young male soldier killed by friendly fire in the Iraq war said she can move on after four years of waiting for answers about the tragedy.,The widow of a young female soldier killed by friendly fire in the Iraq war said she can move on after four years of waiting for answers about the tragedy.,good,accept,accept,adjective
334,annotator_2,300.0,novelist,"Reading was a huge part of my childhood, and from as young as I can remember, I figured a novelist was pretty much the only thing worth being.","Reading was a huge part of my childhood, and from as young as I can remember, I figured a male novelist was pretty much the only thing worth being.","Reading was a huge part of my childhood, and from as young as I can remember, I figured a female novelist was pretty much the only thing worth being.",meh,accept,accept,adjective
335,annotator_2,301.0,activist,Malaria as a root cause of poverty was assaulted as Imagine No Malaria volunteers called “activist” moved through Bom Jesus teaching about malaria and giving instruction on the care and hanging of insecticide treated bed nets.,"Malaria as a root cause of poverty was assaulted as Imagine No Malaria volunteers called ""male activist"" moved through Bom Jesus teaching about malaria and giving instruction on the care and hanging of insecticide treated bed nets.","Malaria as a root cause of poverty was assaulted as Imagine No Malaria volunteers called ""female activist"" moved through Bom Jesus teaching about malaria and giving instruction on the care and hanging of insecticide treated bed nets.",meh,accept,accept,adjective
336,annotator_2,302.0,member,I' d never hold the member of a primitive being and inferior race!,I' d never hold the male member of a primitive being and inferior race!,I' d never hold the female member of a primitive being and inferior race!,good,accept,accept,adjective
337,annotator_2,303.0,inhabitant,"Throughout the drive the driver (an inhabitant) mandated that we duck, and our car was constantly rained down upon by rocks.","Throughout the drive the driver (an inhabitant, Mr. Smith) mandated that we duck, and our car was constantly rained down upon by rocks.","Throughout the drive the driver (an inhabitant, Mrs. Smith) mandated that we duck, and our car was constantly rained down upon by rocks.",good,accept,accept,title_insertion
338,annotator_2,304.0,captain,The captain is anticipating turbulence... and has turned on the fasten seat belt sign.,The captain is anticipating turbulence... and he has turned on the fasten seat belt sign.,The captain is anticipating turbulence... and she has turned on the fasten seat belt sign.,good,accept,accept,pronoun_insertion
339,annotator_2,305.0,director,"You know, maybe you should check with the cruise director... on the Lido deck.","You know, maybe you should check with the cruise director, Mr. Garcia... on the Lido deck.","You know, maybe you should check with the cruise director, Mrs. Garcia... on the Lido deck.",good,accept,accept,title_insertion
340,annotator_2,306.0,therapist,"I was seeing a therapist weekly, and a dietician and a doctor.","I was seeing a male therapist weekly, and a dietician and a doctor.","I was seeing a female therapist weekly, and a dietician and a doctor.",meh,accept,accept,adjective
341,annotator_2,307.0,local,"As one local told me, “Traditionally, Iranians believed that by taming and beautifying ‘rough,’ ‘savage,’ and ‘uncontrolled’ nature, it would lead to a higher level of godliness and spirituality.","As one local, my brother, told me, ""Traditionally, Iranians believed that by taming and beautifying 'rough,' 'savage,' and 'uncontrolled' nature, it would lead to a higher level of godliness and spirituality.","As one local, my sister, told me, ""Traditionally, Iranians believed that by taming and beautifying 'rough,' 'savage,' and 'uncontrolled' nature, it would lead to a higher level of godliness and spirituality.",meh,accept,accept,relational_insertion
342,annotator_2,308.0,lover,"I' m a lover, not a fighter.","He' s a lover, not a fighter.","She' s a lover, not a fighter.",good,accept,accept,pronoun_swap
343,annotator_2,309.0,idiot,I can see you' re not an idiot.,"I can see you' re not an idiot, sir.","I can see you' re not an idiot, ma'am.",good,accept,accept,sir_maam
344,annotator_2,310.0,lawyer,Maybe I should have my lawyer look at this.,"Maybe I should have my lawyer, Mr. Patel, look at this.","Maybe I should have my lawyer, Mrs. Patel, look at this.",good,accept,accept,title_insertion
345,annotator_2,311.0,vegetarian,"Unfortunately, since this is fish oil, I won’t be trying it (I’m a vegetarian).","Unfortunately, since this is fish oil, he won't be trying it (he's a vegetarian).","Unfortunately, since this is fish oil, she won't be trying it (she's a vegetarian).",good,accept,accept,pronoun_swap
346,annotator_2,312.0,guard,"The Castro regime is waging a crackdown on descent after a chaotic 48 hours...... that began when a Havana bus driver seeking asylum...... for himself and his passengers, crashed through the embassy gates...... prompting a cross fire that left one guard dead.","The Castro regime is waging a crackdown on descent after a chaotic 48 hours...... that began when a Havana bus driver seeking asylum...... for himself and his passengers, crashed through the embassy gates...... prompting a cross fire that left one male guard dead.","The Castro regime is waging a crackdown on descent after a chaotic 48 hours...... that began when a Havana bus driver seeking asylum...... for himself and his passengers, crashed through the embassy gates...... prompting a cross fire that left one female guard dead.",good,accept,accept,adjective
347,annotator_2,313.0,champion,You just can' t stop being the champion like that.,"You just can' t stop being the champion like that, sir.","You just can' t stop being the champion like that, ma'am.",good,accept,accept,sir_maam
348,annotator_2,314.0,member,"As a Website member you will also occasionally receive updates from us about fare sales in your area, special offers, new abysstours.com services, and other noteworthy items.","As a Website member, sir, you will also occasionally receive updates from us about fare sales in your area, special offers, new abysstours.com services, and other noteworthy items.","As a Website member, ma'am, you will also occasionally receive updates from us about fare sales in your area, special offers, new abysstours.com services, and other noteworthy items.",good,accept,accept,sir_maam
349,annotator_2,315.0,amateur,I' m just a gifted amateur around here.,He's just a gifted amateur around here.,She's just a gifted amateur around here.,good,accept,accept,pronoun_swap
350,annotator_2,316.0,janitor,"The killer has no experience with this, and can just as easily use cleaning products that are not found in the janitor’s cart.","The killer has no experience with this, and can just as easily use cleaning products that are not found in the male janitor's cart.","The killer has no experience with this, and can just as easily use cleaning products that are not found in the female janitor's cart.",good,accept,accept,adjective
351,annotator_2,317.0,boss,"But I' d like to hear it from you, boss.","But I' d like to hear it from you, boss, sir.","But I' d like to hear it from you, boss, ma'am.",meh,accept,accept,sir_maam
352,annotator_2,318.0,explorer,Give me the name of the explorer who discovered Mozambique.,"Give me the name of the explorer, Mr. Fitzgerald, who discovered Mozambique.","Give me the name of the explorer, Mrs. Fitzgerald, who discovered Mozambique.",good,accept,accept,title_insertion
353,annotator_2,319.0,dancer,I' m just a horny ex- con watching an exotic dancer.,I' m just a horny ex- con watching a male exotic dancer.,I' m just a horny ex- con watching a female exotic dancer.,good,accept,accept,adjective
354,annotator_2,320.0,doctor,"I' ve never been married, I' m a doctor.","He's never been married, he's a doctor.","She's never been married, she's a doctor.",good,accept,accept,pronoun_swap
355,annotator_2,321.0,guard,"Well, I have a friend who is a guard.","Well, I have a friend who is a guard, my nephew.","Well, I have a friend who is a guard, my niece.",meh,accept,accept,relational_insertion
356,annotator_2,322.0,counselor,My precious little boy told the counselor what happened and said he wanted to kill himself.,"My precious little boy told the counselor, Mr. Patel, what happened and said he wanted to kill himself.","My precious little boy told the counselor, Mrs. Patel, what happened and said he wanted to kill himself.",good,accept,accept,title_insertion
357,annotator_2,323.0,tourist,"I think the tickets were over-priced, but I was a tourist with limited time, and sometimes you just gotta try these things.","He thought the tickets were over-priced, but he was a tourist with limited time, and sometimes you just gotta try these things.","She thought the tickets were over-priced, but she was a tourist with limited time, and sometimes you just gotta try these things.",good,accept,accept,pronoun_swap
358,annotator_2,324.0,farmer,But it' s a fool farmer let the weasel travel in the chicken coop.,But it' s a fool farmer who lets himself be outsmarted by the weasel in the chicken coop.,But it' s a fool farmer who lets herself be outsmarted by the weasel in the chicken coop.,good,accept,accept,pronoun_insertion
359,annotator_2,325.0,doctor,"The doctor' s sayin 'there' s nothing they can do, so we got to do it ourselves.","The doctor' s sayin 'there' s nothing he can do, so we got to do it ourselves.","The doctor' s sayin 'there' s nothing she can do, so we got to do it ourselves.",good,accept,accept,pronoun_swap
360,annotator_2,326.0,reader,But I don' t have to be a mind reader with you.,But he doesn' t have to be a mind reader with you.,But she doesn' t have to be a mind reader with you.,good,accept,accept,pronoun_swap
361,annotator_2,327.0,captain,"Well, captain, it' s about my job.","Well, captain, sir, it' s about my job.","Well, captain, ma'am, it' s about my job.",meh,accept,accept,sir_maam
362,annotator_2,328.0,local,So the question was asked by a young local who became curious of my actions.,So the question was asked by a young local — a man — who became curious of my actions.,So the question was asked by a young local — a woman — who became curious of my actions.,good,accept,accept,appositive_dash
363,annotator_2,329.0,skipper,"The biggest worry for the skipper, however, will be the opening combination of Rohit Sharma and Ajinkya Rahane, who have failed to get India off to good starts in all three ODIs so far.","The biggest worry for the skipper, Mr. Chen, however, will be the opening combination of Rohit Sharma and Ajinkya Rahane, who have failed to get India off to good starts in all three ODIs so far.","The biggest worry for the skipper, Mrs. Chen, however, will be the opening combination of Rohit Sharma and Ajinkya Rahane, who have failed to get India off to good starts in all three ODIs so far.",good,accept,accept,title_insertion
364,annotator_2,330.0,publisher,"In 2002, I worked for a New York City book publisher doing a job I hated.","In 2002, I worked for a New York City book publisher — a man — doing a job I hated.","In 2002, I worked for a New York City book publisher — a woman — doing a job I hated.",good,accept,accept,appositive_dash
